stock_id,make,model,inventory_location,model_code,year,transmission,color,drive,doors,steering,seats,engine_type,body_type,engine_size,mileage,fuel,fob_price,total_price
AU0885,TOYOTA,LAND CRUISER PRADO 2018,Nagoya - Japan,CBA-TRJ150W,2018/11,AT,Black,4WD,5,RHD,7,2TR,SUV,"2,690cc","28,000km",PETROL,28770,31212
QV9040,TOYOTA,LAND CRUISER PRADO 2018,Osaka - Japan,CBA-TRJ150W,2018/11,AT,Pearl,4WD,5,RHD,7,2TR,SUV,"2,690cc","75,000km",PETROL,28310,30752
KW0360,LEXUS,RX 2018,Yokohama - Japan,DBA-AGL20W,2018/8,AT,Pearl,2WD,5,RHD,5,8AR,SUV,"1,990cc","78,000km",PETROL,21790,23979
QH2942,MERCEDES,C CLASS 2018,Osaka - Japan,CBA-205064,2018/1,AT,White,4WD,4,RHD,5,276M30,Sedan,"2,990cc","49,000km",PETROL,21580,23396
DS6547,AUDI,Q5 2018,Hakata - Japan,DBA-FYDAXS,2018/6,AT,White,4WD,5,RHD,5,DAX,SUV,"1,980cc","40,000km",PETROL,19020,21047
DN5609,TOYOTA,HARRIER 2018,Hakata - Japan,DBA-ZSU60W,2018/8,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","62,000km",PETROL,18630,20651
LC1731,TOYOTA,HARRIER 2018,Yokohama - Japan,DBA-ZSU60W,2018/12,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","121,000km",PETROL,18160,20177
ON2057,TOYOTA,HARRIER 2018,Nagoya - Japan,DBA-ASU60W,2018/5,AT,Pearl,2WD,5,RHD,5,8AR,SUV,"1,990cc","124,000km",PETROL,18160,20177
JP8026,TOYOTA,RAV4 2019,Yokohama - Japan,6BA-MXAA54,2019/12,AT,Pearl,4WD,5,RHD,5,M20A,SUV,"1,980cc","65,000km",PETROL,17810,19929
LK1731,TOYOTA,RAV4 2019,Nagoya - Japan,6BA-MXAA54,2019/7,AT,Red,4WD,5,RHD,5,M20A,SUV,"1,980cc","47,000km",PETROL,17680,19797
DC2285,TOYOTA,HARRIER 2018,Hakata - Japan,DBA-ZSU60W,2018/7,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","81,000km",PETROL,17130,19243
YB7359,TOYOTA,HARRIER 2018,Nagoya - Japan,DBA-ZSU60W,2018/3,AT,PURPLE(D),2WD,5,RHD,5,3ZR,SUV,"1,980cc","71,000km",PETROL,16790,18897
RU0724,TOYOTA,RAV4 2019,Nagoya - Japan,6BA-MXAA54,2019/10,AT,Black,4WD,5,RHD,5,M20A,SUV,"1,980cc","70,000km",PETROL,16790,18894
ZB2425,TOYOTA,RAV4 2019,Nagoya - Japan,6BA-MXAA54,2019/6,AT,Pearl,4WD,5,RHD,5,M20A,SUV,"1,980cc","98,000km",PETROL,16790,18894
MM6134,TOYOTA,HARRIER 2018,Yokohama - Japan,DBA-ZSU60W,2018/3,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","82,000km",PETROL,16790,18897
JX0693,TOYOTA,HARRIER 2018,Yokohama - Japan,DBA-ZSU60W,2018/8,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","44,000km",PETROL,16580,18684
UD4061,MERCEDES,E CLASS 2018,Osaka - Japan,RBA-213042C,2018/2,AT,Black,2WD,4,RHD,5,274,Sedan,"1,990cc","68,000km",PETROL,16440,18420
HQ8277,TOYOTA,HARRIER 2018,Yokohama - Japan,DBA-ZSU60W,2018/11,AT,Black,2WD,5,RHD,5,3ZR,SUV,"1,980cc","97,000km",PETROL,16440,18542
HH2283,VOLKSWAGEN,TIGUAN 2018,Yokohama - Japan,ABA-5NCZE,2018/3,AT,White,2WD,5,RHD,5,CZE,SUV,"1,390cc","39,000km",PETROL,16440,18431
