id,model_name,make_name,vehicle_type,name,price,body_type,source,current_location,drive,mileage,color,annual_insurance,year_of_manufacture,torque,fuel_type,engine_size,horse_power,acceleration,transmission,urban_consumption,highway_consumption,availability,purchase_status,condition
7582,Crown,Toyota,Automobile,Toyota Crown Athlete,1079998,Saloon,Kenyan Used,Nairobi,2WD,87591,Grey,43200,2011,250,Petrol,2490,203,9,Automatic,9.5,11,sell_on_behalf,Available,Very Good
7581,MPV,Mazda,Automobile,Mazda MPV,329999,Van,Kenyan Used,Nairobi,2WD,175545,Silver,13200,2002,231,Petrol,2490,170,10,Automatic,7.7,11.1,sell_on_behalf,Available,Very Good
7580,Skyline,Nissan,Automobile,Nissan Skyline,1849999,Saloon,Kenyan Used,Nairobi,2WD,137153,White,73600,2011,258,Petrol,2500,222,8,Automatic,10,12,sell_on_behalf,Available,Very Good
7579,Prado,Toyota,Automobile,2024 Toyota Landcruiser Prado Adventure Plus (J250).,17999999,SUV,Brand New,Nairobi,4WD,35,Platinum White Pearl MC,720000,2024,500,Diesel,2800,201,10,Automatic,12,13,available,Available,Excellent
7578,Touareg,Volkswagen,Automobile,Volkswagen Touareg,1380000,SUV,Kenyan Used,Nairobi,AWD,105890,Silver Metallic,55200,2008,360,Diesel,3000,237,8,Automatic,9,11,sell_on_behalf,Available,Very Good
7577,Probox / Succeed,Toyota,Automobile,Toyota Succeed,1100000,Station Wagon,Kenyan Used,Nairobi,2WD,105133,Black,44000,2016,141,Petrol,1500,109,11.7,Automatic,14,16,sell_on_behalf,Available,Very Good
7576,Noah,Toyota,Automobile,Toyota Noah,2350000,Van,Kenyan Used,Nairobi,2WD,168986,Light Blue,94000,2017,192,Petrol,2000,150,11,Automatic,10,12,sell_on_behalf,Available,Very Good
7574,Fortuner,Toyota,Automobile,Toyota Fortuner,7990000,SUV,Kenyan Used,"Nairobi, Kenya",4WD,27000,white,330000,2023,400,Petrol,2400,148,11,Automatic,10,13,available,Available,Excellent
7573,Crown,Toyota,Automobile,Toyota Crown,2299000,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,69362,white,84000,2015,221,Petrol Hybrid,2500,220,6,Automatic,10,12,available,Available,Very Good
7572,Tiguan,Volkswagen,Automobile,Volkswagen Tiguan,1850000,SUV,Kenyan Used,"Nairobi, Kenya",2WD,56909,Silver,74000,2012,280,Petrol,2000,197,8,Automatic,10,12,available,Available,Very Good
