Make,Model,Year,Fuel Type,Engine,Transmission,Exterior Color,Interior Color,Drive,Mileage,Condition Grade,Interior Grade,Availability
Toyota,Land Cruiser,2021,Diesel,3300 cc,Automatic,Black,Beige,AWD,10944 Km,,,In Stock
Toyota,Crown,2024,Petrol,2500 cc,Automatic,Black/brown,Black,2WD,"9,000kms Km",4.5,B,In Transit
Toyota,Crown,2023,Petrol,2500 cc,Automatic,Gray,Black,2WD,"3,000KMS Km",4.5,B,In Transit
Mercedes,B,2018,Petrol,1600 cc,Automatic,Silver,Black,2WD,93150 Km,4.5,B,In Transit
Mercedes,Cla,2018,Petrol,1800 cc,Automatic,Black,Black,,93150 Km,,,In Transit
Mercedes,A,2018,Petrol,1800 cc,Automatic,Pearl White,Black,,93150 Km,,,In Transit
Toyota,Fielder,2018,Petrol,1800 cc,Automatic,Pearl White,Black,,93150 Km,,,In Transit
Toyota,Land Cruiser Prado,2018,Petrol,3000 cc,Automatic,Pearl White,Black,,31222 Km,,,In Transit
Toyota,Vitz,2018,Petrol,1000 cc,Automatic,Maroon,Black,2WD,31222 Km,,,In Transit
Toyota,Vitz,2018,Petrol,1000 cc,Automatic,White,Black,2WD,58510 Km,,,In Transit
Toyota,Fielder,2018,Petrol Hybrid,1500 cc,Automatic,Pearl White,Black,,28172 Km,,,In Transit
Toyota,Fielder,2018,Petrol,1800 cc,Automatic,White,Black,2WD,54700 Km,4.5,,In Transit
Toyota,Fielder,2018,Petrol,1500 cc,Automatic,Black,Black,2WD,30600 Km,4,,In Transit
Toyota,Land Cruiser,2021,Diesel,3300 cc,Automatic,Gray,Black,AWD,11670 Km,,,In Stock
Mazda,Cx8,2017,Diesel,2200 cc,Automatic,Gray,Black,,83000 Km,,,In Stock
Subaru,Outback,2017,Petrol,2500 cc,Automatic,Pearl White,Black,2WD,80820 Km,4.5,B,In Stock
Toyota,Land Cruiser Prado,2017,Diesel,2800 cc,Automatic,Black,Black,4WD,62700 Km,4.5,B,In Stock
Toyota,Land Cruiser,2017,Petrol,4700 cc,Automatic,Red,Brown,4WD,33360 Km,4.5,B,In Stock
Bmw,X1,2017,Petrol,2000 cc,Automatic,Pearl White,Gray,2WD,78000 Km,4.5,B,In Stock
Mercedes,Gle Mini,2017,Diesel,3000 cc,Automatic,Black,Black,4WD,43750 Km,4.5,,In Stock
Mercedes,Gle Mini,2017,Diesel,3000 cc,Automatic,Pearl White,Black,2WD,30000 Km,,,In Stock
Bmw,X6 Coupe,2020,Diesel,3000 cc,Automatic,Blue,Beige,4WD,16000 Km,4.5,,In Stock
Toyota,Land Cruiser Sahara,2022,Petrol,3346 cc,Automatic,Black,Black,,33 Km,,,In Stock
Toyota,Land Cruiser Prado,2017,Diesel,,Automatic,Pearl White,Black,,45000 Km,,,In Stock
Volkswagen,Golf,2018,Petrol,1400 cc,Automatic,Blue,Gray,2WD,,4.5,B,In Transit
Mercedes,V220,2023,Diesel,2200 cc,Automatic,Black,Black,2WD,,4.5,B,In Transit
Volkswagen,T Cross Mini,2020,Petrol,1000 cc,Automatic,Pearl White,Gray,2WD,,4.5,B,In Stock
Mercedes,V220,2022,Diesel,2200 cc,Automatic,Black,Black,2WD,,4.5,B,In Transit
Mercedes,V220,2020,Diesel,2200 cc,Automatic,Black,Beige,2WD,,4.5,B,In Transit
Toyota,Land Cruiser,2021,Petrol,3500 cc,Automatic,Gray,Gray,4WD,,4.5,B,In Transit
Toyota,Land Cruiser,2023,Petrol,3500 cc,Automatic,Pearl White,Beige,4WD,,5,A,In Stock
Toyota,Land Cruiser,2024,Diesel,3300 cc,Automatic,Black,Beige,4WD,,6,A,In Stock
Nissan,Xtrail Mini,2017,Petrol,2000 cc,Automatic,Silver,Gray,2WD,,4.5,B,In Transit
Subaru,Legacy,2017,Petrol,2000 cc,Automatic,Silver,Gray,2WD,,4.5,B,In Transit
Subaru,Wrx,2017,Petrol,2000 cc,Automatic,Pearl White,Gray,2WD,,4.5,B,In Transit
Toyota,Land Cruiser,2017,Petrol,4700 cc,Automatic,Pearl White,Brown,4WD,,4.5,B,In Stock
Toyota,Land Cruiser Prado,2017,Petrol,2700 cc,Automatic,Pearl White,Gray,4WD,,4.5,B,In Transit
Toyota,Highlander,2018,Petrol,2000 cc,Automatic,Silver,Gray,2WD,,4.5,B,In Transit
Mazda,Cx,2018,Diesel,2200 cc,Automatic,Red,Gray,2WD,,4.5,B,In Transit
Mazda,Cx,2018,Diesel,2200 cc,Automatic,Gray,Gray,2WD,,4.5,B,In Transit
Mazda,Cx,2018,Petrol,1500 cc,Automatic,Red,Gray,2WD,,4.5,B,In Transit
Mazda,Cx,2018,Petrol,1500 cc,Automatic,Gray,Gray,2WD,,4.5,B,In Transit
Toyota,Land Cruiser,2017,Diesel,2800 cc,Automatic,Pearl White,Black,4WD,,4.5,B,In Stock
Toyota,Crown,2024,Petrol Hybrid,2500 cc,Automatic,Gray,Gray,2WD,,6,A,In Transit
Land,Rover Range Rover,2022,Diesel,3000 cc,Automatic,Gold,Brown,4WD,,6,A,In Stock
Porsche,Cayenne,2018,Petrol,4000 cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Stock
Toyota,Land Cruiser,2021,Diesel,3300 cc,Automatic,Black,Black/Red,4WD,,5,A,In Transit
Toyota,Vitz,2017,Petrol,1000 cc,Automatic,Gray,Black,FWD,,4.5,B,In Stock
Toyota,Land Cruiser Prado,2022,Diesel,2800 cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2022,Diesel,2800 cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2022,Petrol,2700 cc,Automatic,Pearl White,Beige,4WD,,5,A,In Stock
