Title,Year,Fuel Type,Engine,Transmission,Exterior Color,Interior Color,Drive,Mileage,Condition Grade,Interior Grade,Availability,Chassis Number,Details Link
Unknown,2021,Diesel,3300 cc,Automatic,Black,Beige,AWD,10944 Km,N/A,N/A,In Stock,CHS-9148,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-suv-used-diesel-3300-automatic-2020-in-stock-10944-chs-9148/
Unknown,2024,Petrol,2500 cc,Automatic,Black/brown,Black,2WD,"9,000kms Km",4.5,B,In Transit,AZSH35-1434,https://autoboxmotors.co.ke/listings/toyota-crown-sedan-used-petrol-1800-automatic-2024-in-transit-93150-2/
Unknown,2023,Petrol,2500 cc,Automatic,Gray,Black,2WD,"3,000KMS Km",4.5,B,In Transit,AZSH35-1434,https://autoboxmotors.co.ke/listings/toyota-crown-sedan-used-petrol-1800-automatic-2024-in-transit-93150/
Unknown,2018,Petrol,1600 cc,Automatic,Silver,Black,2WD,93150 Km,4.5,B,In Transit,WDD246-1177,https://autoboxmotors.co.ke/listings/mercedes-b-180-hatchback-used-petrol-1800-automatic-2018-in-transit-93150/
Unknown,2018,Petrol,1800 cc,Automatic,Black,Black,N/A,93150 Km,N/A,N/A,In Transit,N/A,https://autoboxmotors.co.ke/listings/mercedes-cla-180-sedan-used-petrol-1800-automatic-2018-in-transit-93150/
Unknown,2018,Petrol,1800 cc,Automatic,Pearl White,Black,N/A,93150 Km,N/A,N/A,In Transit,N/A,https://autoboxmotors.co.ke/listings/mercedes-a-180-hatchback-used-petrol-1800-automatic-2018-in-transit-93150/
Unknown,2018,Petrol,1800 cc,Automatic,Pearl White,Black,N/A,93150 Km,N/A,N/A,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-fielder-wagon-used-petrol-1800-automatic-2018-in-transit-93150/
Unknown,2018,Petrol,3000 cc,Automatic,Pearl White,Black,N/A,31222 Km,N/A,N/A,In Transit,DEF,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado-suv-used-petrol-3000-automatic-2018-in-transit-31222-def/
Unknown,2018,Petrol,1000 cc,Automatic,Maroon,Black,2WD,31222 Km,N/A,N/A,In Transit,GUN,https://autoboxmotors.co.ke/listings/toyota-vitz-hatchback-used-petrol-1000-automatic-2018-in-transit-31222-gun/
Unknown,2018,Petrol,1000 cc,Automatic,White,Black,2WD,58510 Km,N/A,N/A,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-vitz-hatchback-used-petrol-1000-automatic-2018-in-transit-58510/
Unknown,2018,Petrol Hybrid,1500 cc,Automatic,Pearl White,Black,N/A,28172 Km,N/A,N/A,In Transit,NKE-5605,https://autoboxmotors.co.ke/listings/toyota-fielder-wagon-used-petrol-hybrid-1500-2018-in-transit-28172-nke-5605/
Unknown,2018,Petrol,1800 cc,Automatic,White,Black,2WD,54700 Km,4.5,N/A,In Transit,ZRE-7570,https://autoboxmotors.co.ke/listings/toyota-fielder-wagon-used-petrol-1800-automatic-2018-in-transit-54700-zre-7570/
Unknown,2018,Petrol,1500 cc,Automatic,Black,Black,2WD,30600 Km,4,N/A,In Transit,NRE-1640,https://autoboxmotors.co.ke/listings/toyota-fielder-wagon-used-petrol-1500-automatic-2018-in-stock-30600-nre-1640/
Unknown,2021,Diesel,3300 cc,Automatic,Gray,Black,AWD,11670 Km,N/A,N/A,In Stock,CHS- 1384,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-300-gr-suv-used-petrol-3300-automatic-2021-in-stock-11670-chs-1384/
Unknown,2017,Diesel,2200 cc,Automatic,Gray,Black,N/A,83000 Km,N/A,N/A,In Stock,KG2P-1448,https://autoboxmotors.co.ke/listings/mazda-cx8-suv-used-diesel-2200-automatic-2017-in-stock-83000-kg2p-1448/
Unknown,2017,Petrol,2500 cc,Automatic,Pearl White,Black,2WD,80820 Km,4.5,B,In Stock,BS9-6471,https://autoboxmotors.co.ke/listings/subaru-outback-wagon-used-petrol-2500-automatic-2017-in-stock-80820-bs9-6471/
Unknown,2017,Diesel,2800 cc,Automatic,Black,Black,4WD,62700 Km,4.5,B,In Stock,GDJ150-6855,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado/
Unknown,2017,Petrol,4700 cc,Automatic,Red,Brown,4WD,33360 Km,4.5,B,In Stock,CHS-2224,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-suv-used-petrol-4700-automatic-2017-in-transit-2/
Unknown,2017,Petrol,2000 cc,Automatic,Pearl White,Gray,2WD,78000 Km,4.5,B,In Stock,WBAH-5474,https://autoboxmotors.co.ke/listings/bmw-x1-wagon-used-petrol-2000-automatic-2017-in-stock-78000-wbah-5474/
Unknown,2017,Diesel,3000 cc,Automatic,Black,Black,4WD,43750 Km,4.5,N/A,In Stock,WDC-4923,https://autoboxmotors.co.ke/listings/mercedes-gle-mini-suv-used-diesel-3000-automatic-2017-in-stock-43750/
Unknown,2017,Diesel,3000 cc,Automatic,Pearl White,Black,2WD,30000 Km,N/A,N/A,In Stock,WDC-1456,https://autoboxmotors.co.ke/listings/mercedes-gle-mini-suv-new-diesel-3000-automatic-2017-in-stock-30000/
Unknown,2020,Diesel,3000 cc,Automatic,Blue,Beige,4WD,16000 Km,4.5,N/A,In Stock,WBA-7329,https://autoboxmotors.co.ke/listings/bmw-x6-coupe-new-petrol-3000-automatic-2020-in-stock-16000/
Unknown,2022,Petrol,3346 cc,Automatic,Black,Black,N/A,33 Km,N/A,N/A,In Stock,JTMA-4530,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-sahara-suv-new-petrol-automatic-2022-in-stock-33/
Unknown,2017,Diesel,N/A,Automatic,Pearl White,Black,N/A,45000 Km,N/A,N/A,In Stock,TRJ150-6807,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado-suv-new-diesel-automatic-2022-in-stock-45000/
Unknown,2018,Petrol,1400 cc,Automatic,Blue,Gray,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/volkswagen-golf-wagon-used-petrol-1400-automatic-2018-in-transit/
Unknown,2023,Diesel,2200 cc,Automatic,Black,Black,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/mercedes-v220-van-used-diesel-2200-automatic-2023-in-transit/
Unknown,2020,Petrol,1000 cc,Automatic,Pearl White,Gray,2WD,N/A,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/volkswagen-t-cross-mini-suv-used-petrol-1000-automatic-2020-in-stock/
Unknown,2022,Diesel,2200 cc,Automatic,Black,Black,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/mercedes-v220-van-used-diesel-2200-automatic-2022-in-transit/
Unknown,2020,Diesel,2200 cc,Automatic,Black,Beige,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/mercedes-v220-van-used-diesel-2200-automatic-2020-in-transit/
Unknown,2021,Petrol,3500 cc,Automatic,Gray,Gray,4WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-suv-used-petrol-3500-automatic-2021-in-transit/
Unknown,2023,Petrol,3500 cc,Automatic,Pearl White,Beige,4WD,N/A,5,A,In Stock,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-suv-new-petrol-3500-automatic-2023-in-stock/
Unknown,2024,Diesel,3300 cc,Automatic,Black,Beige,4WD,N/A,6,A,In Stock,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-suv-new-diesel-3300-automatic-2024-in-stock/
Unknown,2017,Petrol,2000 cc,Automatic,Silver,Gray,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/nissan-xtrail-mini-suv-used-petrol-2000-automatic-2017-in-transit/
Unknown,2017,Petrol,2000 cc,Automatic,Silver,Gray,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/subaru-legacy-sedan-used-petrol-2000-automatic-2017-in-transit/
Unknown,2017,Petrol,2000 cc,Automatic,Pearl White,Gray,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/subaru-wrx-sedan-used-petrol-2000-automatic-2017-in-transit/
Unknown,2017,Petrol,4700 cc,Automatic,Pearl White,Brown,4WD,N/A,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-suv-used-petrol-4700-automatic-2017-in-stock-2/
Unknown,2017,Petrol,2700 cc,Automatic,Pearl White,Gray,4WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado-suv-used-petrol-2700-automatic-2017-in-transit-2/
Unknown,2018,Petrol,2000 cc,Automatic,Silver,Gray,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-highlander-van-used-petrol-2000-automatic-2018-in-transit/
Unknown,2018,Diesel,2200 cc,Automatic,Red,Gray,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/mazda-cx-5-mini-suv-used-diesel-2200-automatic-2018-in-transit-2/
Unknown,2018,Diesel,2200 cc,Automatic,Gray,Gray,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/mazda-cx-5-mini-suv-used-diesel-2200-automatic-2018-in-transit/
Unknown,2018,Petrol,1500 cc,Automatic,Red,Gray,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/mazda-cx-3-hatchback-used-petrol-1500-automatic-2018-in-transit-2/
Unknown,2018,Petrol,1500 cc,Automatic,Gray,Gray,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/mazda-cx-3-hatchback-used-petrol-1500-automatic-2018-in-transit/
Unknown,2017,Diesel,2800 cc,Automatic,Pearl White,Black,4WD,N/A,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-suv-used-diesel-2800-automatic-2017-in-stock/
Unknown,2024,Petrol Hybrid,2500 cc,Automatic,Gray,Gray,2WD,N/A,6,A,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-crown-sedan-new-petrol-hybrid-2500-automatic-2024-in-transit/
Unknown,2022,Diesel,3000 cc,Automatic,Gold,Brown,4WD,N/A,6,A,In Stock,N/A,https://autoboxmotors.co.ke/listings/land-rover-range-rover-suv-new-diesel-3000-automatic-2022-in-stock/
Unknown,2018,Petrol,4000 cc,Automatic,Pearl White,Beige,4WD,N/A,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/porsche-cayenne-suv-used-petrol-4000-automatic-2018-in-stock/
Unknown,2021,Diesel,3300 cc,Automatic,Black,Black/Red,4WD,N/A,5,A,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-suv-new-diesel-3300-automatic-2021-in-transit-3/
Unknown,2017,Petrol,1000 cc,Automatic,Gray,Black,FWD,N/A,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/toyota-vitz-hatchback-used-petrol-automatic-2017-in-stock/
Unknown,2022,Diesel,2800 cc,Automatic,Pearl White,Beige,4WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado-suv-used-diesel-2800-automatic-2022-in-transit-2/
Unknown,2022,Diesel,2800 cc,Automatic,Pearl White,Beige,4WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado-suv-used-diesel-2800-automatic-2022-in-transit/
Unknown,2022,Petrol,2700 cc,Automatic,Pearl White,Beige,4WD,N/A,5,A,In Stock,N/A,https://autoboxmotors.co.ke/listings/toyota-land-cruiser-prado-suv-new-petrol-2700-automatic-2022-in-stock/
