Title,Make,Model,Year,Price (Ksh),Fuel Type,Position,Usage,Status,Stock ID,Image URL,Car Link
Nissan Note - 2017,Nissan,Note,N/A,"KSh1,300,000",Petrol,N/A,foreign,Unsold,E107-1082,https://www.maridadymotors.com/assets/images/sell_car/f8cda5e95d47a641d791a72b6ecc2d8c.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2017-8886
Toyota fortuner - 2017,Toyota,fortuner,N/A,"KSh6,899,999",Diesel,N/A,foreign,Unsold,E107-1081,https://www.maridadymotors.com/assets/images/sell_car/4d1e60e1165b88a84d2178dd786543c6.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8885
Mitsubishi Outlander - 2017,Mitsubishi,Outlander,N/A,"KSh3,650,000",Petrol,N/A,foreign,Unsold,E107-1080,https://www.maridadymotors.com/assets/images/sell_car/b83895a1065cd386aaee1f2da9ee23e4.jpg,https://www.maridadymotors.com/car-details/2/mitsubishi-aero-midi-2017-8884
Mazda cx-3 - 2017,Mazda,cx-3,N/A,"KSh2,400,000",Petrol,N/A,foreign,Unsold,E107-1079,https://www.maridadymotors.com/assets/images/sell_car/00537a71663e259c6209d75bc4fd31c8.jpg,https://www.maridadymotors.com/car-details/2/mazda-atenza-2017-8883
Toyota land cruiser prado - 2021,Toyota,land cruiser prado,N/A,"KSh9,800,000",Diesel,N/A,foreign,Unsold,E107-1078,https://www.maridadymotors.com/assets/images/sell_car/cfda2d8abf5c454b74f9e8304c9c5264.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2021-8882
Toyota land cruiser prado - 2019,Toyota,land cruiser prado,N/A,"KSh6,800,000",Petrol,N/A,foreign,Unsold,E107-1077,https://www.maridadymotors.com/assets/images/sell_car/b45e41eb3ca521ba0b5ca066b1438a7d.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2019-8881
Toyota harrier - 2018,Toyota,harrier,N/A,"KSh3,999,999",Petrol,N/A,foreign,Unsold,E107-1076,https://www.maridadymotors.com/assets/images/sell_car/3aae8269852db9cfdaf6aa7c65c32161.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2018-8880
BMW X3 - 2017,BMW,X3,N/A,"KSh4,200,000",Petrol,N/A,foreign,Unsold,E107-1075,https://www.maridadymotors.com/assets/images/sell_car/314d1862942782d2e078ec5779077271.jpg,https://www.maridadymotors.com/car-details/2/bmw-x3-2017-8879
Volkswagen touareg - 2016,Volkswagen,touareg,N/A,"KSh6,300,000",Diesel,N/A,foreign,Unsold,E107-1074,https://www.maridadymotors.com/assets/images/sell_car/3e47ad99b3bcd348d20a4de38105f1c1.jpg,https://www.maridadymotors.com/car-details/2/volkswagen-beetle-2016-8878
Mazda cx-5 - 2016,Mazda,cx-5,N/A,KSh2,Petrol,N/A,foreign,Unsold,E107-1073,https://www.maridadymotors.com/assets/images/sell_car/9070d2eedbecfdd0dbd268a7a0b801fc.jpg,https://www.maridadymotors.com/car-details/2/mazda-atenza-2016-8877
Nissan Serena - 2017,Nissan,Serena,N/A,"KSh1,849,999",Petrol,N/A,foreign,Unsold,E107-1072,https://www.maridadymotors.com/assets/images/sell_car/e4f92922a3e28f2eba6d40c2267e22ba.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2017-8876
Volkswagen tiguan - 2017,Volkswagen,tiguan,N/A,"KSh4,650,000",Petrol,N/A,foreign,Unsold,E107-1071,https://www.maridadymotors.com/assets/images/sell_car/b564b5819cfc8d4e0c2619222f896b72.jpg,https://www.maridadymotors.com/car-details/2/volkswagen-beetle-2017-8875
Toyota land cruiser prado - 2021,Toyota,land cruiser prado,N/A,"KSh9,800,000",Diesel,N/A,foreign,Unsold,E107-1070,https://www.maridadymotors.com/assets/images/sell_car/f02bbf097e538619fca430239add4764.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2021-8874
Toyota passo - 2017,Toyota,passo,N/A,"KSh1,200,000",Petrol,N/A,foreign,Unsold,E107-1069,https://www.maridadymotors.com/assets/images/sell_car/07cdfc2b35c740bd8cd61c8c8d4e3687.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8873
Mitsubishi Pajero - 2018,Mitsubishi,Pajero,N/A,"KSh6,249,999",Diesel,N/A,foreign,Unsold,E107-1068,https://www.maridadymotors.com/assets/images/sell_car/eac57108554f40c0202ae6f33f5f2599.jpg,https://www.maridadymotors.com/car-details/2/mitsubishi-aero-midi-2018-8872
Volvo xc90 - 2018,Volvo,xc90,N/A,"KSh7,999,999",Petrol,N/A,foreign,Unsold,E107-1067,https://www.maridadymotors.com/assets/images/sell_car/a0e877a14d045ac67d90fc2a69b43856.jpg,https://www.maridadymotors.com/car-details/2/volvo-240-2018-8871
Subaru levorg - 2017,Subaru,levorg,N/A,"KSh2,300,000",Petrol,N/A,foreign,Unsold,E107-1066,https://www.maridadymotors.com/assets/images/sell_car/87498ed2abad0871702b27b90febca57.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2017-8870
Mitsubishi Outlander - 2017,Mitsubishi,Outlander,N/A,"KSh3,550,000",Petrol,N/A,foreign,Unsold,E107-1065,https://www.maridadymotors.com/assets/images/sell_car/7a00bbd087b72f46cbecf7b6be8b36c7.jpg,https://www.maridadymotors.com/car-details/2/mitsubishi-aero-midi-2017-8869
