mileage,year_of_production,horse_power,engine_size,seats,price_ksh,fuel_type,transmission,car_name,body_type,annual_insurance,condition,source
10944 Km,2021.0,,3300 cc,,,Diesel,Automatic,Unknown,,,,AutoBox Motors
"9,000kms Km",2024.0,,2500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
"3,000KMS Km",2023.0,,2500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
93150 Km,2018.0,,1600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
93150 Km,2018.0,,1800 cc,,,Petrol,Automatic,Unknown,,,,AutoBox Motors
93150 Km,2018.0,,1800 cc,,,Petrol,Automatic,Unknown,,,,AutoBox Motors
93150 Km,2018.0,,1800 cc,,,Petrol,Automatic,Unknown,,,,AutoBox Motors
31222 Km,2018.0,,3000 cc,,,Petrol,Automatic,Unknown,,,,AutoBox Motors
31222 Km,2018.0,,1000 cc,,,Petrol,Automatic,Unknown,,,,AutoBox Motors
58510 Km,2018.0,,1000 cc,,,Petrol,Automatic,Unknown,,,,AutoBox Motors
28172 Km,2018.0,,1500 cc,,,Petrol Hybrid,Automatic,Unknown,,,,AutoBox Motors
54700 Km,2018.0,,1800 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
30600 Km,2018.0,,1500 cc,,,Petrol,Automatic,Unknown,,,4,AutoBox Motors
11670 Km,2021.0,,3300 cc,,,Diesel,Automatic,Unknown,,,,AutoBox Motors
83000 Km,2017.0,,2200 cc,,,Diesel,Automatic,Unknown,,,,AutoBox Motors
80820 Km,2017.0,,2500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
62700 Km,2017.0,,2800 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
33360 Km,2017.0,,4700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
78000 Km,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
43750 Km,2017.0,,3000 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
30000 Km,2017.0,,3000 cc,,,Diesel,Automatic,Unknown,,,,AutoBox Motors
16000 Km,2020.0,,3000 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
33 Km,2022.0,,3346 cc,,,Petrol,Automatic,Unknown,,,,AutoBox Motors
45000 Km,2017.0,,,,,Diesel,Automatic,Unknown,,,,AutoBox Motors
,2018.0,,1400 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2023.0,,2200 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
,2020.0,,1000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2022.0,,2200 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
,2020.0,,2200 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
,2021.0,,3500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2023.0,,3500 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
,2024.0,,3300 cc,,,Diesel,Automatic,Unknown,,,6,AutoBox Motors
,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,4700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,2700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2018.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2018.0,,2200 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
,2018.0,,2200 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
,2018.0,,1500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2018.0,,1500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,2800 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
,2024.0,,2500 cc,,,Petrol Hybrid,Automatic,Unknown,,,6,AutoBox Motors
