Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price
Toyota,Land Cruiser,2021,10944 Km,3300 cc,Diesel,Automatic,,AWD,,,,,,
Toyota,Crown,2024,"9,000kms Km",2500 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Crown,2023,"3,000KMS Km",2500 cc,Petrol,Automatic,4.5,2WD,,,,,,
Mercedes,B,2018,93150 Km,1600 cc,Petrol,Automatic,4.5,2WD,,,,,,
Mercedes,Cla,2018,93150 Km,1800 cc,Petrol,Automatic,,,,,,,,
Mercedes,A,2018,93150 Km,1800 cc,Petrol,Automatic,,,,,,,,
Toyota,Fielder,2018,93150 Km,1800 cc,Petrol,Automatic,,,,,,,,
Toyota,Land Cruiser Prado,2018,31222 Km,3000 cc,Petrol,Automatic,,,,,,,,
Toyota,Vitz,2018,31222 Km,1000 cc,Petrol,Automatic,,2WD,,,,,,
Toyota,Vitz,2018,58510 Km,1000 cc,Petrol,Automatic,,2WD,,,,,,
Toyota,Fielder,2018,28172 Km,1500 cc,Petrol Hybrid,Automatic,,,,,,,,
Toyota,Fielder,2018,54700 Km,1800 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Fielder,2018,30600 Km,1500 cc,Petrol,Automatic,4,2WD,,,,,,
Toyota,Land Cruiser,2021,11670 Km,3300 cc,Diesel,Automatic,,AWD,,,,,,
Mazda,Cx8,2017,83000 Km,2200 cc,Diesel,Automatic,,,,,,,,
Subaru,Outback,2017,80820 Km,2500 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Land Cruiser Prado,2017,62700 Km,2800 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser,2017,33360 Km,4700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Bmw,X1,2017,78000 Km,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Mercedes,Gle Mini,2017,43750 Km,3000 cc,Diesel,Automatic,4.5,4WD,,,,,,
Mercedes,Gle Mini,2017,30000 Km,3000 cc,Diesel,Automatic,,2WD,,,,,,
Bmw,X6 Coupe,2020,16000 Km,3000 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser Sahara,2022,33 Km,3346 cc,Petrol,Automatic,,,,,,,,
Toyota,Land Cruiser Prado,2017,45000 Km,,Diesel,Automatic,,,,,,,,
Volkswagen,Golf,2018,,1400 cc,Petrol,Automatic,4.5,2WD,,,,,,
