Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price,Condition_Original
Toyota,Land Cruiser,2021.0,10944.0,3300.0,diesel,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,
Toyota,Crown,2024.0,9000.0,2500.0,petrol,automatic,4.5,fwd,220.0,377.0,8.5,station wagon,5.0,,4.5
Toyota,Crown,2023.0,3000.0,2500.0,petrol,automatic,4.5,fwd,211.0,250.0,8.0,sedan,5.0,,4.5
Mercedes,B,2018.0,93150.0,1600.0,petrol,automatic,4.5,fwd,208.0,350.0,7.7,sedan,5.0,,4.5
Mercedes,Cla,2018.0,93150.0,1800.0,petrol,automatic,4.5,fwd,122.0,230.0,8.95,sedan,5.0,,
Mercedes,A,2018.0,93150.0,1800.0,petrol,automatic,4.5,awd,208.0,350.0,7.7,sedan,5.0,,
Toyota,Fielder,2018.0,93150.0,1800.0,petrol,automatic,4.5,fwd,86.5,140.0,10.6,hatchback,5.0,,
Toyota,Land Cruiser Prado,2018.0,31222.0,3000.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,
Toyota,Vitz,2018.0,31222.0,1000.0,petrol,automatic,4.5,fwd,94.0,102.0,12.0,hatchback,5.0,,
Toyota,Vitz,2018.0,58510.0,1000.0,petrol,automatic,4.5,fwd,94.0,102.0,12.0,hatchback,5.0,,
Toyota,Fielder,2018.0,28172.0,1500.0,petrol hybrid,automatic,4.5,fwd,86.5,140.0,10.6,hatchback,5.0,,
Toyota,Fielder,2018.0,54700.0,1800.0,petrol,automatic,4.5,fwd,86.5,140.0,10.6,hatchback,5.0,,4.5
Toyota,Fielder,2018.0,30600.0,1500.0,petrol,automatic,4.0,fwd,86.5,140.0,10.6,hatchback,5.0,,4
Toyota,Land Cruiser,2021.0,11670.0,3300.0,diesel,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,
Mazda,Cx8,2017.0,83000.0,2200.0,diesel,automatic,4.5,awd,190.0,450.0,7.0,suv,5.0,,
Subaru,Outback,2017.0,80820.0,2500.0,petrol,automatic,4.5,fwd,175.0,235.5,8.7,station wagon,5.0,,4.5
Toyota,Land Cruiser Prado,2017.0,62700.0,2800.0,diesel,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Toyota,Land Cruiser,2017.0,33360.0,4700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,4.5
Bmw,X1,2017.0,78000.0,2000.0,petrol,automatic,4.5,fwd,150.0,258.0,8.5,suv,5.0,,4.5
Mercedes,Gle Mini,2017.0,43750.0,3000.0,diesel,automatic,4.5,awd,208.0,350.0,7.7,sedan,5.0,,4.5
Mercedes,Gle Mini,2017.0,30000.0,3000.0,diesel,automatic,4.5,fwd,208.0,350.0,7.7,sedan,5.0,,
Bmw,X6 Coupe,2020.0,16000.0,3000.0,diesel,automatic,4.5,awd,265.0,500.0,6.6,suv,5.0,,4.5
Toyota,Land Cruiser Sahara,2022.0,33.0,3346.0,petrol,automatic,4.5,fwd,132.5,173.0,10.5,hatchback,5.0,,
Toyota,Land Cruiser Prado,2017.0,45000.0,2700.0,diesel,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,
Volkswagen,Golf,2018.0,,1400.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,5.0,,4.5
Mercedes,V220,2023.0,,2200.0,diesel,automatic,4.5,fwd,163.0,380.0,11.5,van,5.0,,4.5
Volkswagen,T Cross Mini,2020.0,,1000.0,petrol,automatic,4.5,fwd,150.0,250.0,8.0,hatchback,5.0,,4.5
Mercedes,V220,2022.0,,2200.0,diesel,automatic,4.5,fwd,163.0,380.0,11.5,van,5.0,,4.5
Mercedes,V220,2020.0,,2200.0,diesel,automatic,4.5,fwd,163.0,380.0,11.5,van,5.0,,4.5
Toyota,Land Cruiser,2021.0,,3500.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,4.5
Toyota,Land Cruiser,2023.0,,3500.0,petrol,automatic,5.0,awd,150.0,200.0,10.0,suv,7.0,,5
Toyota,Land Cruiser,2024.0,,3300.0,diesel,automatic,6.0,awd,150.0,200.0,10.0,suv,7.0,,6
Nissan,Xtrail Mini,2017.0,,2000.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,suv,5.0,,4.5
Subaru,Legacy,2017.0,,2000.0,petrol,automatic,4.5,fwd,172.0,236.0,8.0,sedan,5.0,,4.5
Subaru,Wrx,2017.0,,2000.0,petrol,automatic,4.5,fwd,268.0,350.0,6.0,sedan,5.0,,4.5
Toyota,Land Cruiser,2017.0,,4700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,4.5
Toyota,Land Cruiser Prado,2017.0,,2700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Toyota,Highlander,2018.0,,2000.0,petrol,automatic,4.5,fwd,132.5,173.0,10.5,hatchback,5.0,,4.5
Mazda,Cx,2018.0,,2200.0,diesel,automatic,4.5,fwd,150.0,200.0,10.0,suv,5.0,,4.5
Mazda,Cx,2018.0,,2200.0,diesel,automatic,4.5,fwd,150.0,200.0,10.0,suv,5.0,,4.5
Mazda,Cx,2018.0,,1500.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,suv,5.0,,4.5
Mazda,Cx,2018.0,,1500.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,suv,5.0,,4.5
Toyota,Land Cruiser,2017.0,,2800.0,diesel,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,4.5
Toyota,Crown,2024.0,,2500.0,petrol hybrid,automatic,6.0,fwd,220.0,377.0,8.5,station wagon,5.0,,6
Land,Rover Range Rover,2022.0,,3000.0,diesel,automatic,6.0,awd,150.0,200.0,10.0,suv,5.0,,6
Porsche,Cayenne,2018.0,,4000.0,petrol,automatic,4.5,awd,340.0,450.0,6.2,suv,5.0,,4.5
Toyota,Land Cruiser,2021.0,,3300.0,diesel,automatic,5.0,awd,150.0,200.0,10.0,suv,7.0,,5
Toyota,Vitz,2017.0,,1000.0,petrol,automatic,4.5,fwd,94.0,102.0,12.0,hatchback,5.0,,4.5
Toyota,Land Cruiser Prado,2022.0,,2800.0,diesel,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Toyota,Land Cruiser Prado,2022.0,,2800.0,diesel,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Toyota,Land Cruiser Prado,2022.0,,2700.0,petrol,automatic,5.0,awd,150.0,200.0,10.0,suv,5.0,,5
Toyota,Land Cruiser Prado,2021.0,,2700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Toyota,Land Cruiser Prado,2022.0,,2700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Porsche,Cayenne,2018.0,,3000.0,petrol,automatic,4.5,awd,340.0,450.0,6.2,suv,5.0,,4.5
Toyota,Land Cruiser Prado,2017.0,,2800.0,diesel,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Toyota,Land Cruiser,2017.0,,4700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,4.5
Toyota,Land Cruiser Prado,2017.0,,2700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Toyota,Land Cruiser,2021.0,,3300.0,diesel,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,4.5
Toyota,Land Cruiser,2021.0,,3300.0,diesel,automatic,5.0,awd,150.0,200.0,10.0,suv,7.0,,5
Toyota,Land Cruiser,2021.0,,3300.0,diesel,automatic,5.0,awd,150.0,200.0,10.0,suv,7.0,,5
Toyota,Land Cruiser,2023.0,,3300.0,diesel,automatic,5.0,awd,150.0,200.0,10.0,suv,7.0,,5
Toyota,Land Cruiser,2022.0,11608.0,3500.0,petrol,automatic,5.0,awd,150.0,200.0,10.0,suv,7.0,,5
Lexus,Lx500D,2022.0,,3300.0,diesel,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Mercedes,Glc,2017.0,,2000.0,petrol,automatic,4.5,fwd,211.0,350.0,8.0,suv,5.0,,4.5
Land,Rover Range Rover,2018.0,,3000.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Bmw,X7,2019.0,29500.0,3000.0,diesel,automatic,4.5,awd,302.5,660.0,6.5,suv,6.0,,4.5
Lexus,Nx200T,2017.0,,2000.0,petrol,automatic,4.5,fwd,235.0,350.0,7.2,suv,5.0,,4.5
Mercedes,Glc,2017.0,,2200.0,diesel,automatic,4.5,fwd,211.0,350.0,8.0,suv,5.0,,4.5
Lexus,Lx600,2022.0,4100.0,3500.0,petrol,automatic,5.0,awd,150.0,200.0,10.0,suv,5.0,,5
Toyota,Land Cruiser,2017.0,,4700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,4.5
Toyota,Premio,2017.0,,2000.0,petrol,automatic,4.5,fwd,138.0,173.0,10.0,sedan,5.0,,4.5
